concepts_name,primary_part,parts,paper_ids,supporting_titles,supporting_urls,canonical_urls,paper_row_count,verified_true_paper_rows,verification_statuses,citation_count_agg,definition,what_count,what_do_not_count,concept_text,evidence_texts,definition_variant_count,what_count_variant_count,what_not_variant_count,I_def,I_count,I_not,I_obs,A,P,label_similarity_indicator,label_similarity_ideation,label_similarity_attempt,label_similarity_behaviour,L,closest_label,V,E,evidence_preview,Q,decision,final_rank,part_rank
adverse_childhood_experience_load,Developmental and contextual vulnerability,Developmental and contextual vulnerability,S19_ACE_2001,"Childhood abuse, household dysfunction, and the risk of attempted suicide throughout the life span",https://pubmed.ncbi.nlm.nih.gov/11754674/,https://pubmed.ncbi.nlm.nih.gov/11754674/,1,,not_audited,"~2284 OpenAlex, checked 2026-06-11",Cumulative childhood adversity burden creating long-term vulnerability.,"Multiple adverse childhood experiences, unsafe upbringing, abuse, neglect, parental violence, incarceration, household substance use or mental illness.","A single ordinary childhood difficulty without threat, neglect, violence, or household dysfunction.","adverse_childhood_experience_load. Definition: Cumulative childhood adversity burden creating long-term vulnerability. What counts: Multiple adverse childhood experiences, unsafe upbringing, abuse, neglect, parental violence, incarceration, household substance use or mental illness. What does not count: A single ordinary childhood difficulty without threat, neglect, violence, or household dysfunction.","Childhood abuse, household dysfunction, and the risk of attempted suicide throughout the life span | JAMA (2001) | Adverse Childhood Experiences | distal vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",1,1,1,,,,,,,,,,,,,,,"Childhood abuse, household dysfunction, and the risk of attempted suicide throughout the life span | JAMA (2001) | Adverse Childhood Experiences | distal vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",,no_audit_include,1,1
legal_or_criminal_stressor,Developmental and contextual vulnerability,Developmental and contextual vulnerability,S30_CDC_2026,Risk and Protective Factors for Suicide,https://www.cdc.gov/suicide/risk-factors/index.html,https://www.cdc.gov/suicide/risk-factors/index.html,1,,not_audited,guidance/framework source; citation count not applicable,Legal or criminal justice problems that intensify stress.,"Arrest, court, jail, charges, probation, legal threats, criminal record blocking life options.",Moral guilt about a mistake without legal or criminal consequence.,"legal_or_criminal_stressor. Definition: Legal or criminal justice problems that intensify stress. What counts: Arrest, court, jail, charges, probation, legal threats, criminal record blocking life options. What does not count: Moral guilt about a mistake without legal or criminal consequence.","Risk and Protective Factors for Suicide | CDC (2026) | CDC socioecological risk/protective factors | contextual vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",1,1,1,,,,,,,,,,,,,,,"Risk and Protective Factors for Suicide | CDC (2026) | CDC socioecological risk/protective factors | contextual vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",,no_audit_include,12,12
housing_instability,Developmental and contextual vulnerability,Developmental and contextual vulnerability,S30_CDC_2026,Risk and Protective Factors for Suicide,https://www.cdc.gov/suicide/risk-factors/index.html,https://www.cdc.gov/suicide/risk-factors/index.html,1,,not_audited,guidance/framework source; citation count not applicable,"Unstable housing, homelessness, unsafe shelter, or credible threat to losing shelter.","Homelessness, couch-surfing, eviction threat, unsafe housing, no place to stay.",Wanting a nicer home or temporary travel inconvenience.,"housing_instability. Definition: Unstable housing, homelessness, unsafe shelter, or credible threat to losing shelter. What counts: Homelessness, couch-surfing, eviction threat, unsafe housing, no place to stay. What does not count: Wanting a nicer home or temporary travel inconvenience.","Risk and Protective Factors for Suicide | CDC (2026) | CDC socioecological risk/protective factors | contextual vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",1,1,1,,,,,,,,,,,,,,,"Risk and Protective Factors for Suicide | CDC (2026) | CDC socioecological risk/protective factors | contextual vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",,no_audit_include,13,13
baseline_vulnerability_accumulation,Developmental and contextual vulnerability,Developmental and contextual vulnerability,S09_FVT_2006,Fluid Vulnerability Theory: A Cognitive Approach to Understanding the Process of Acute and Chronic Suicide Risk,https://pmc.ncbi.nlm.nih.gov/articles/PMC7050543/,https://pmc.ncbi.nlm.nih.gov/articles/PMC7050543/,1,,not_audited,"~423 OpenAlex, checked 2026-06-11","Relatively stable vulnerability from accumulated risk across history, symptoms, and context.","Longstanding mental health burden, repeated crises, chronic adversity, or multi-domain vulnerabilities described as ongoing.",A one-time bad day with no stable vulnerability context.,"baseline_vulnerability_accumulation. Definition: Relatively stable vulnerability from accumulated risk across history, symptoms, and context. What counts: Longstanding mental health burden, repeated crises, chronic adversity, or multi-domain vulnerabilities described as ongoing. What does not count: A one-time bad day with no stable vulnerability context.","Fluid Vulnerability Theory: A Cognitive Approach to Understanding the Process of Acute and Chronic Suicide Risk | Cognition and Suicide: Theory, Research, and Therapy (2006) | Fluid Vulnerability Theory | dynamic vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",1,1,1,,,,,,,,,,,,,,,"Fluid Vulnerability Theory: A Cognitive Approach to Understanding the Process of Acute and Chronic Suicide Risk | Cognition and Suicide: Theory, Research, and Therapy (2006) | Fluid Vulnerability Theory | dynamic vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",,no_audit_include,14,14
relationship_loss_or_breakup,"Acute stressor, loss, and crisis transition","Acute stressor, loss, and crisis transition",S30_CDC_2026,Risk and Protective Factors for Suicide,https://www.cdc.gov/suicide/risk-factors/index.html,https://www.cdc.gov/suicide/risk-factors/index.html,1,,not_audited,guidance/framework source; citation count not applicable,"Recent romantic, family, or friendship loss.","Breakup, divorce, being dumped, losing a close friend, estrangement, relationship ending.",Minor disagreement or temporary distance without loss.,"relationship_loss_or_breakup. Definition: Recent romantic, family, or friendship loss. What counts: Breakup, divorce, being dumped, losing a close friend, estrangement, relationship ending. What does not count: Minor disagreement or temporary distance without loss.","Risk and Protective Factors for Suicide | CDC (2026) | CDC socioecological risk/protective factors | acute trigger | Recent precipitating events, losses, and dynamic escalations that may move a post from baseline distress toward crisis.",1,1,1,,,,,,,,,,,,,,,"Risk and Protective Factors for Suicide | CDC (2026) | CDC socioecological risk/protective factors | acute trigger | Recent precipitating events, losses, and dynamic escalations that may move a post from baseline distress toward crisis.",,no_audit_include,15,1
bereavement_or_grief_loss,"Acute stressor, loss, and crisis transition","Acute stressor, loss, and crisis transition",S35_RDOC_NVS,RDoC Negative Valence Systems,https://www.nimh.nih.gov/research/research-funded-by-nimh/rdoc/constructs/negative-valence-systems,https://www.nimh.nih.gov/research/research-funded-by-nimh/rdoc/constructs/negative-valence-systems,1,,not_audited,research framework; citation count not applicable,Grief response to death or major irreversible loss.,"Someone died, mourning, cannot cope with death/loss, anniversary of death, grief wave.",Missing someone who moved away without death or irreversible loss.,"bereavement_or_grief_loss. Definition: Grief response to death or major irreversible loss. What counts: Someone died, mourning, cannot cope with death/loss, anniversary of death, grief wave. What does not count: Missing someone who moved away without death or irreversible loss.","RDoC Negative Valence Systems | NIMH RDoC (current) | RDoC Negative Valence Systems | acute trigger | Recent precipitating events, losses, and dynamic escalations that may move a post from baseline distress toward crisis.",1,1,1,,,,,,,,,,,,,,,"RDoC Negative Valence Systems | NIMH RDoC (current) | RDoC Negative Valence Systems | acute trigger | Recent precipitating events, losses, and dynamic escalations that may move a post from baseline distress toward crisis.",,no_audit_include,16,2
interpersonal_conflict_escalation,"Acute stressor, loss, and crisis transition","Acute stressor, loss, and crisis transition",S30_CDC_2026,Risk and Protective Factors for Suicide,https://www.cdc.gov/suicide/risk-factors/index.html,https://www.cdc.gov/suicide/risk-factors/index.html,1,,not_audited,guidance/framework source; citation count not applicable,Recent interpersonal conflict that escalates distress.,"Fight with partner/family/friend, being attacked, intense argument, conflict becoming threatening.",Everyday disagreement that resolves quickly.,"interpersonal_conflict_escalation. Definition: Recent interpersonal conflict that escalates distress. What counts: Fight with partner/family/friend, being attacked, intense argument, conflict becoming threatening. What does not count: Everyday disagreement that resolves quickly.","Risk and Protective Factors for Suicide | CDC (2026) | CDC socioecological risk/protective factors | acute trigger | Recent precipitating events, losses, and dynamic escalations that may move a post from baseline distress toward crisis.",1,1,1,,,,,,,,,,,,,,,"Risk and Protective Factors for Suicide | CDC (2026) | CDC socioecological risk/protective factors | acute trigger | Recent precipitating events, losses, and dynamic escalations that may move a post from baseline distress toward crisis.",,no_audit_include,17,3
academic_or_work_failure_event,"Acute stressor, loss, and crisis transition","Acute stressor, loss, and crisis transition",S30_CDC_2026,Risk and Protective Factors for Suicide,https://www.cdc.gov/suicide/risk-factors/index.html,https://www.cdc.gov/suicide/risk-factors/index.html,1,,not_audited,guidance/framework source; citation count not applicable,Recent school/work failure or evaluative setback.,"Failed exam, job firing, rejected application, academic collapse, work humiliation, lost career opportunity.",Ordinary deadline stress or mild disappointment.,"academic_or_work_failure_event. Definition: Recent school/work failure or evaluative setback. What counts: Failed exam, job firing, rejected application, academic collapse, work humiliation, lost career opportunity. What does not count: Ordinary deadline stress or mild disappointment.","Risk and Protective Factors for Suicide | CDC (2026) | CDC socioecological risk/protective factors | acute trigger | Recent precipitating events, losses, and dynamic escalations that may move a post from baseline distress toward crisis.",1,1,1,,,,,,,,,,,,,,,"Risk and Protective Factors for Suicide | CDC (2026) | CDC socioecological risk/protective factors | acute trigger | Recent precipitating events, losses, and dynamic escalations that may move a post from baseline distress toward crisis.",,no_audit_include,18,4
public_humiliation_or_shame_event,"Acute stressor, loss, and crisis transition","Acute stressor, loss, and crisis transition",S10_ESCAPE_1990,Suicide as escape from self,https://pubmed.ncbi.nlm.nih.gov/2408091/,https://pubmed.ncbi.nlm.nih.gov/2408091/,1,,not_audited,"~1784 OpenAlex, checked 2026-06-11","Acute humiliation, exposure, or disgrace that sharply changes self-appraisal.","Publicly humiliated, exposed secret, shame spiral after mistake, reputation ruined.",Mild embarrassment or constructive criticism.,"public_humiliation_or_shame_event. Definition: Acute humiliation, exposure, or disgrace that sharply changes self-appraisal. What counts: Publicly humiliated, exposed secret, shame spiral after mistake, reputation ruined. What does not count: Mild embarrassment or constructive criticism.","Suicide as escape from self | Psychological Review (1990) | Escape theory | acute trigger | Recent precipitating events, losses, and dynamic escalations that may move a post from baseline distress toward crisis.",1,1,1,,,,,,,,,,,,,,,"Suicide as escape from self | Psychological Review (1990) | Escape theory | acute trigger | Recent precipitating events, losses, and dynamic escalations that may move a post from baseline distress toward crisis.",,no_audit_include,19,5
financial_or_housing_crisis,"Acute stressor, loss, and crisis transition","Acute stressor, loss, and crisis transition",S30_CDC_2026,Risk and Protective Factors for Suicide,https://www.cdc.gov/suicide/risk-factors/index.html,https://www.cdc.gov/suicide/risk-factors/index.html,1,,not_audited,guidance/framework source; citation count not applicable,"Immediate crisis involving money, food, bills, or shelter.","Eviction, no food, urgent debt, bills impossible today, losing shelter, sudden financial collapse.",Long-term wish for better finances without current crisis.,"financial_or_housing_crisis. Definition: Immediate crisis involving money, food, bills, or shelter. What counts: Eviction, no food, urgent debt, bills impossible today, losing shelter, sudden financial collapse. What does not count: Long-term wish for better finances without current crisis.","Risk and Protective Factors for Suicide | CDC (2026) | CDC socioecological risk/protective factors | acute trigger | Recent precipitating events, losses, and dynamic escalations that may move a post from baseline distress toward crisis.",1,1,1,,,,,,,,,,,,,,,"Risk and Protective Factors for Suicide | CDC (2026) | CDC socioecological risk/protective factors | acute trigger | Recent precipitating events, losses, and dynamic escalations that may move a post from baseline distress toward crisis.",,no_audit_include,20,6
treatment_or_care_disruption,"Acute stressor, loss, and crisis transition","Acute stressor, loss, and crisis transition",S30_CDC_2026,Risk and Protective Factors for Suicide,https://www.cdc.gov/suicide/risk-factors/index.html,https://www.cdc.gov/suicide/risk-factors/index.html,1,,not_audited,guidance/framework source; citation count not applicable,Loss or interruption of mental/physical health support.,"Therapist left, medication stopped, cannot access doctor, insurance loss, discharge without support.",Choosing not to attend a routine appointment without disruption.,"treatment_or_care_disruption. Definition: Loss or interruption of mental/physical health support. What counts: Therapist left, medication stopped, cannot access doctor, insurance loss, discharge without support. What does not count: Choosing not to attend a routine appointment without disruption.","Risk and Protective Factors for Suicide | CDC (2026) | CDC socioecological risk/protective factors | acute trigger | Recent precipitating events, losses, and dynamic escalations that may move a post from baseline distress toward crisis.",1,1,1,,,,,,,,,,,,,,,"Risk and Protective Factors for Suicide | CDC (2026) | CDC socioecological risk/protective factors | acute trigger | Recent precipitating events, losses, and dynamic escalations that may move a post from baseline distress toward crisis.",,no_audit_include,21,7
acute_substance_intoxication_context,"Acute stressor, loss, and crisis transition","Acute stressor, loss, and crisis transition",S27_SUBSTANCE_META,"Alcohol-related risk of suicidal ideation, suicide attempt, and completed suicide: A meta-analysis",https://pubmed.ncbi.nlm.nih.gov/?term=alcohol+use+disorder+suicide+risk+meta-analysis,https://pubmed.ncbi.nlm.nih.gov/?term=alcohol+use+disorder+suicide+risk+meta-analysis,1,,not_audited,"~469 OpenAlex, checked 2026-06-11",Acute intoxication or substance use intensifying current distress or unsafe behavior.,"Drunk/high during crisis, blackout, intoxication fueling conflict, using tonight to numb or escalate.",Past substance use without acute state or crisis connection.,"acute_substance_intoxication_context. Definition: Acute intoxication or substance use intensifying current distress or unsafe behavior. What counts: Drunk/high during crisis, blackout, intoxication fueling conflict, using tonight to numb or escalate. What does not count: Past substance use without acute state or crisis connection.","Alcohol-related risk of suicidal ideation, suicide attempt, and completed suicide: A meta-analysis | PLOS ONE / related literature (2015) | Substance/alcohol risk evidence | acute trigger | Recent precipitating events, losses, and dynamic escalations that may move a post from baseline distress toward crisis.",1,1,1,,,,,,,,,,,,,,,"Alcohol-related risk of suicidal ideation, suicide attempt, and completed suicide: A meta-analysis | PLOS ONE / related literature (2015) | Substance/alcohol risk evidence | acute trigger | Recent precipitating events, losses, and dynamic escalations that may move a post from baseline distress toward crisis.",,no_audit_include,22,8
